                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.6409,                 2.2121,                 1.1038,                  1.008,                0.62139,                0.57444,                0.58474,                0.24984,                0.54449,                0.52299,                 0.4987,                0.19543,                 1.9746,                 2.5004,                 1.1421,                 1.1463,               0.005743,               0.005743,               0.005743
                     45,                 1.5999,                 2.1542,                 1.0742,                0.99221,                0.62139,                0.57444,                0.58474,                0.24984,                0.54449,                0.52299,                 0.4987,                0.19543,                 1.9746,                 2.5004,                 1.1421,                 1.1463,               0.005644,               0.005644,               0.005644
                     46,                 1.7116,                  1.833,                 1.2027,                 1.0322,                0.61021,                 0.6375,                0.61785,                0.29198,                0.60619,                0.53877,                0.56338,                0.24509,                 1.8851,                 2.4523,                  1.169,                   1.12,               0.005545,               0.005545,               0.005545
                     47,                 1.8029,                 2.1122,                0.99208,                0.99804,                0.61021,                 0.6375,                0.61785,                0.29198,                0.60619,                0.53877,                0.56338,                0.24509,                 1.8851,                 2.4523,                  1.169,                   1.12,               0.005446,               0.005446,               0.005446
                     48,                 1.8638,                 2.2077,                 1.0366,                0.97878,                0.53555,                0.51894,                  0.496,                0.21194,                0.43234,                0.41894,                0.38327,                0.13284,                 2.0854,                 2.5376,                 1.1908,                 1.1604,               0.005347,               0.005347,               0.005347
                     49,                 1.9027,                 1.9504,                 1.1523,                 1.0026,                0.53555,                0.51894,                  0.496,                0.21194,                0.43234,                0.41894,                0.38327,                0.13284,                 2.0854,                 2.5376,                 1.1908,                 1.1604,               0.005248,               0.005248,               0.005248
                     50,                 1.6306,                 2.0494,                 1.0186,                0.98667,                0.53555,                0.51894,                  0.496,                0.21194,                0.43234,                0.41894,                0.38327,                0.13284,                 2.0854,                 2.5376,                 1.1908,                 1.1604,               0.005149,               0.005149,               0.005149
                     51,                 1.5601,                 2.2181,                0.93526,                0.96144,                0.59542,                0.64391,                0.58652,                0.25874,                0.42586,                0.50995,                0.41201,                0.15513,                 1.9316,                 2.7339,                 1.1636,                  1.117,                0.00505,                0.00505,                0.00505
                     52,                 1.5441,                 2.1326,                0.90401,                0.97748,                0.59542,                0.64391,                0.58652,                0.25874,                0.42586,                0.50995,                0.41201,                0.15513,                 1.9316,                 2.7339,                 1.1636,                  1.117,               0.004951,               0.004951,               0.004951
                     53,                  1.574,                 1.8958,                0.89625,                0.97308,                0.59542,                0.64391,                0.58652,                0.25874,                0.42586,                0.50995,                0.41201,                0.15513,                 1.9316,                 2.7339,                 1.1636,                  1.117,               0.004852,               0.004852,               0.004852
